FID,Shape *,KEYFIELD1,CALYEAR,CRASHNUM,CASENUMBER,AGENCY,DISTRICT,DOTCOUNTY,CRASHDATE,CRASHTIME,DAYOFWEEK,DHSCNTYCTY,TOWNNAME,INTOWNFLAG,ONROADNAME,INROADNAME,REFDIST,REFMEAS,REFDIRECT,ROADWAYID,LOCMILEPT,LOCNODE,SRROUTEID,USROUTEID,SIDEOFROAD,CRASHLANE,ROADCATGRY,SKIDNUMBER,SKIDTESTDT,RCIFEDHWY,RCIFUNCLAS,RCIACC,RCIPLACECD,RCILANDUSE,RCISURFWTH,RCISLDTYP1,RCISLDTYP2,RCISLDTYP3,RCISLDWTH1,RCISLDWTH2,RCISLDWTH3,RCIMEDWDTH,RCIAADT,RCIAVGTFCT,RCIHZDGCRV,RCIMAXSPD,RCITYPPARK,HIGHESTINJ,CRSHALCDRG,SITELOCA,LIGHTCOND,WEATHCOND,RDSURFCOND,DIV_UNDIV,TRAFCNTL1,TRAFCNTL2,CNTOFLANES,RDSURFTYPE,ROADCOND1,ROADCOND2,VISIBLTY1,VISIBLTY2,CRSHEVENT1,CRSHCAUSE1,CNTOFINJ,CNTOFFATL,CNTOFSVINJ,CNTOFPEDES,CNTOFDRVRS,CNTOFCYCLS,CNTOFVEH,CNTOFPERS,CNTNONTFTL,TOTCRSHDMG,TOTVEHDMG,TOTOTHRDMG,WORKZONE,FLAG_CMV,FLAG_INT,FL_LANEDEP,FL_AGGRSV,FL_VRU_PED,FL_VRU_BIK,FLELDERPED,FLPED5064,FLPED6569,FLPED7074,FLPED7579,FLPED80UP,FLMINORPED,FLELDERBIK,FLBIK5064,FLBIK6569,FLBIK7074,FLBIK7579,FLBIK80UP,FLMINORBIK,FL_VRU_MOT,FLMOT5064,FLMOT6569,FLMOT7074,FLMOT7579,FLMOT80UP,FL_AR_TEEN,FL_AR_AG,FL_AG5064,FL_AG6569,FL_AG7074,FL_AG7579,FL_AG80UP,FLAG_IMP,FL_IMP_PED,FLAG_DIST,FLAG_MIN,FLNOBTKID,FLNOBTMIN,FLNOBTTEEN,FL_NOBELT,LATITUDE,LONGITUDE,XCOORDINAT,YCOORDINAT,COORDSYS,MAPSOURCE,MAPVERSION,DTPUBLISHE,DTCARXTRCT,DTCOORDXTR,LINESEGID
4,Point M,2.00504E+12,2005,36343790,FHPE05OFF004550,F,6,87,1/26/2005,557,3,100,MIAMI,N,SR 9A,125TH ST NW,1320,FT,S,87270000,9.883,7815,SR    9A,I    95,M,M,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,5,0,1,3,1,1,1,3,0,0,2,1,0,1,0,20,2,0,1,0,0,1,0,1,1,0,10200,10000,200,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25.88505,-80.20897,579243.2726,2863192.509,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
38,Point M,2.00503E+12,2005,25692830,FHPE05OFF012857,F,6,87,3/7/2005,638,1,100,N MIAMI,N,SR 9A,95TH ST NW,0.043,MI,S,87270000,8.378,2261,SR    9A,I    95,L,4,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,291000,6.47, ,55,0,2,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,4,0,4,4,0,15000,15000,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.86329,-80.20818,579336.9116,2860783.154,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
78,Point M,2.00505E+12,2005,49768690,FHPE05OFF007219,F,6,87,2/8/2005,820,2,100,MIAMI,N,I 95,103RD ST NW,0.028,MI,N,87270000,8.818,7813,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,189500,6.47, ,55,0,2,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,2,0,2,2,0,1500,1500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.86965,-80.20837,579313.4035,2861488.015,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
88,Point M,2.00505E+12,2005,49770930,FHPE05OFF008339,F,6,87,2/13/2005,1040,7,166,MIAMI,Y,SR 9A,125TH ST NW,2640,FT,S,87270000,9.633,2297,SR    9A,I    95,M,M,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,189500,6.47,1D00,55,0,1,0,1,1,1,1,2,1,0,0,4,1,0,1,0,20,1,0,0,0,0,2,0,2,5,0,20000,20000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.88143,-80.20898,579243.8395,2862792.004,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
90,Point M,2.00505E+12,2005,49067320,FHPE05OFF031358,F,6,87,6/5/2005,1015,7,100,MIAMI,N,SR 9A,125TH ST NW,50,FT,N,87270000,10.177,7818,SR    9A,I    95,L,3,1,38,11/17/2004,5,11,1,1502,4,60,1, , ,10,0,0,22,243000,6.47, ,55,0,1,0,1,88,77,77,1,77,0,0,0,77,0,77,0,20,77,0,0,0,0,2,0,2,2,0,3000,3000,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.8893,-80.20914,579223.0537,2863663.304,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
95,Point M,2.00505E+12,2005,49770720,FHPE05OFF002310,F,6,87,1/14/2005,800,5,166,MIAMI,Y,I 95,151ST ST NW,0.5,MI,N,87270000,12.309,2844,SR    9A,I    95,L,3,1,40,11/17/2004,5,11,1, ,6,36,1, , ,8,0,0,100,168000,6.47, ,55,0,1,0,1,1,1,1,2,1,0,0,4,1,0,1,0,1,2,0,0,0,0,2,0,2,2,0,601,601,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,25.92012,-80.21031,579085.6928,2867076.281,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
109,Point M,2.00505E+12,2005,49067290,FHPE05OFF032145,F,6,87,6/9/2005,900,4,100,MIAMI,N,SR 9A,79TH ST NW,100,FT,N,87270000,7.284,7807,SR    9A,I    95,L,1,1,38,11/17/2004,5,11,1,1370,4,55,7, , ,10,0,0,24,291000,6.47,3D0000,55,0,2,0,1,1,2,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,2,0,2,2,0,500,500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25.84747,-80.20754,579411.5221,2859031.302,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
110,Point M,2.00505E+12,2005,49772780,FHPE05OFF025627,F,6,87,5/9/2005,620,1,166,MIAMI,Y,SR 9A,SR 860,500,FT,N,87270000,14.495,2277,SR    9,I    95,L,4,1,39,11/17/2004,5,11,1, ,4,48,1, , ,8,0,0,26,177500,6.47,2D0000,55,0,1,0,1,1,1,1,2,1,0,0,1,1,0,1,0,3,2,0,0,0,0,3,0,3,4,0,8500,8500,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,25.94261,-80.18818,581286.5962,2869579.862,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
128,Point M,2.00505E+12,2005,49770640,FHPE05OFF001043,F,6,87,1/7/2005,830,5,166,MIAMI,Y,I 95,151ST ST NW,500,FT,N,87270000,11.904,7823,SR    9A,I    95,L,3,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,258000,6.47, ,55,0,3,0,1,1,1,1,2,1,0,0,4,1,0,1,0,1,2,1,0,0,0,2,0,2,2,0,7200,7200,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.91427,-80.20999,579121.4012,2866428.233,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
141,Point M,2.00505E+12,2005,49768720,FHPE05OFF008086,F,6,87,2/12/2005,1115,6,100,MIAMI,N,SR 9A,95TH ST NW,0.028,MI,N,87270000,8.313,7812,SR    9A,I    95,L,5,1,38,11/17/2004,5,11,1, ,4,60,1, , ,10,0,0,22,291000,6.47, ,55,0,3,0,1,1,1,1,1,1,0,0,4,1,0,1,0,1,2,1,0,0,0,3,0,3,3,0,4500,4500,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.86235,-80.20815,579339.9849,2860679.059,UTM_Zone17_NAD_1983,FDOT TransStat,FDOTTSOBasemapv3-4-2013,3/4/2013,2/21/2013,3/4/2013,0
